15;15;C:\Users\Dalton\Documents\ECE385\NSPool\4ball.png;225;By SachaDee -2013-
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 255 255
255 255 255
255 255 255
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 255 255
0 0 0
255 255 255
0 0 0
255 255 255
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
0 0 0
255 0 128
255 0 128
255 0 128
255 255 255
255 255 255
0 0 0
255 255 255
0 0 0
255 255 255
255 255 255
255 0 128
255 0 128
255 0 128
0 0 0
0 0 0
255 0 128
255 0 128
255 0 128
255 255 255
255 255 255
0 0 0
0 0 0
0 0 0
255 255 255
255 255 255
255 0 128
255 0 128
255 0 128
0 0 0
0 0 0
255 0 128
255 0 128
255 0 128
255 255 255
255 255 255
255 255 255
255 255 255
0 0 0
255 255 255
255 255 255
255 0 128
255 0 128
255 0 128
0 0 0
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 255 255
255 255 255
255 255 255
0 0 0
255 255 255
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 255 255
255 255 255
255 255 255
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
