12;12;C:\Users\Dalton\Documents\ECE385\NSPool\SPRITES\s4ball.png;144;By SachaDee -2013-
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
255 0 255
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
255 0 128
255 0 128
255 0 128
255 0 128
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
