12;12;C:\Users\Dalton\Documents\ECE385\NSPool\SPRITES\s3ball.png;144;By SachaDee -2013-
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
